AGS,year,Land,post_2010,post_2014,Union,SPD,Grüne,FDP,Linke,Andere
09189154,2018,BY,1,1,39.50588235294117,7.9529411764705875,14.705882352941178,3.1176470588235294,2.8941176470588235,31.835294117647056
09189155,2008,BY,0,0,38.84662576687117,15.386503067484664,20.883435582822084,7.226993865030675,4.049079754601228,13.61963190184049
09189155,2013,BY,1,0,49.18539026727718,18.23022042381003,13.704610797572144,2.736662762219146,2.587583856884251,13.566180385475453
09189155,2018,BY,1,1,34.48114968271743,9.341172079134004,24.08547965658828,4.162000746547219,4.25531914893617,23.693542366554684
09189157,2008,BY,0,0,43.729026845637584,17.302852348993287,18.393456375838927,4.509228187919463,3.859060402684564,12.206375838926174
09189157,2013,BY,1,0,54.28794686462199,20.296932994725534,10.529400273490916,1.6018753662824772,2.109787067786677,11.19359249853487
09189157,2018,BY,1,1,40.583318513249154,10.065801173750668,17.250577983282945,2.863240263204695,3.1833540814511827,26.107060288102435
09189159,2008,BY,0,0,42.340425531914896,19.23404255319149,14.97872340425532,6.553191489361702,2.6808510638297873,14.255319148936172
09189159,2013,BY,1,0,52.66019417475728,14.174757281553399,11.533980582524272,3.1456310679611654,1.2815533980582523,17.320388349514563
09189159,2018,BY,1,1,36.39896373056995,7.124352331606218,22.344559585492227,4.3717616580310885,2.33160621761658,27.461139896373055
09189160,2008,BY,0,0,46.16846105129829,13.996200126662444,11.716276124129196,9.309689677010766,2.786573780873971,16.022799240025332
09189160,2013,BY,1,0,57.6049943246311,13.393870601589104,8.456299659477866,3.2917139614074915,1.6458569807037458,15.664018161180476
09189160,2018,BY,1,1,41.68336673346693,7.414829659318638,18.18637274549098,4.458917835671343,1.7535070140280562,26.603206412825653
09189161,2008,BY,0,0,41.50559511698881,12.71617497456765,25.737538148524923,4.170905391658189,2.8484231943031535,13.224821973550355
09189161,2013,BY,1,0,53.33978702807357,16.65053242981607,12.197483059051308,2.420135527589545,1.1616650532429817,14.327202323330107
09189161,2018,BY,1,1,38.562664329535494,10.955302366345311,19.807186678352323,2.892199824715162,1.4022787028922,26.555652936021033
09189162,2008,BY,0,0,36.05331599479844,5.721716514954486,38.00390117035111,4.3237971391417425,2.4057217165149547,13.52405721716515
09189162,2013,BY,1,0,55.62310030395137,11.033434650455927,13.16109422492401,1.5501519756838906,1.3981762917933132,17.29483282674772
09189162,2018,BY,1,1,41.87946884576098,5.286006128702758,21.39938712972421,2.9111338100102144,2.5536261491317673,26.021450459652705
09189165,2008,BY,0,0,42.73255813953488,6.104651162790697,31.1046511627907,2.3255813953488373,2.0348837209302326,15.843023255813954
09189165,2013,BY,1,0,51.84696569920845,10.817941952506596,10.686015831134563,0.5277044854881267,0.9234828496042217,25.19788918205805
09189165,2018,BY,1,1,46.47577092511013,3.634361233480176,16.519823788546255,1.8722466960352422,1.9823788546255507,29.625550660792953
09189444,2008,BY,0,0,,,,,,
09189444,2013,BY,1,0,,,,,,
09189444,2018,BY,1,1,,,,,,
09189451,2008,BY,0,0,,,,,,
09189451,2013,BY,1,0,,,,,,
09189451,2018,BY,1,1,,,,,,
09189452,2008,BY,0,0,,,,,,
09189452,2013,BY,1,0,,,,,,
09189452,2018,BY,1,1,,,,,,
09190000,2008,BY,0,0,41.547837305629116,17.64446255177565,10.54186188633123,9.324709716846609,4.046988524478849,16.89753513953962
09190000,2013,BY,1,0,49.60363077198692,17.86572712479286,8.300613588522461,2.9365659943567772,1.9288476180523417,19.36461490228864
